id	filename	md5	size	state
00b79ebc-f2e4-4c9f-a1b7-beae9a37454f	00b79ebc-f2e4-4c9f-a1b7-beae9a37454f/DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F06_771634.grch38.seg.v2.txt	05bc8b34be0a2141201419eb2f63b31d	52091	validated
01d0adea-7f62-4841-a9dd-670484dfde86	01d0adea-7f62-4841-a9dd-670484dfde86/EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_B01_585118.grch38.seg.v2.txt	ad1a86272c7f49ae5580944f84181a16	49379	validated
036d7acf-c341-4947-ad41-3447df724721	036d7acf-c341-4947-ad41-3447df724721/DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G11_771644.grch38.seg.v2.txt	2a4439f4331b341b692bcda997f588d4	42763	validated
03a7fa67-c600-4256-8841-cb179fd787eb	03a7fa67-c600-4256-8841-cb179fd787eb/DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_B08_1322406.grch38.seg.v2.txt	1edb63eb1b1589a18ed5a39b72403ce4	90904	validated
04d3fa96-e143-4cf4-8d6c-cf8044b8a4e8	04d3fa96-e143-4cf4-8d6c-cf8044b8a4e8/BURST_p_TCGA_b119_SNP_N_GenomeWideSNP_6_F09_787236.grch38.seg.v2.txt	01fcaf1800ae568a90ce9290b63d7531	47083	validated
06897553-4d83-4d45-a7df-2e4f0cc56d51	06897553-4d83-4d45-a7df-2e4f0cc56d51/RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_A10_1245244.grch38.seg.v2.txt	74f6dd1d599a96b65857688eb9e42ec2	28794	validated
069bc18f-9059-4cde-b612-ccc6344236a3	069bc18f-9059-4cde-b612-ccc6344236a3/NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_D09_914232.grch38.seg.v2.txt	584de78fec53f14f892fcab5249b3c2a	103709	validated
07512cfc-493b-4c49-a48e-e598524e07ff	07512cfc-493b-4c49-a48e-e598524e07ff/SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_F01_1244522.grch38.seg.v2.txt	dd09f0891953572787b71ae7ef7253da	31806	validated
079e9ad0-d04c-4f0a-bbd5-3df63a638c28	079e9ad0-d04c-4f0a-bbd5-3df63a638c28/GLYPH_p_TCGA_135_141_166_SNP_N_GenomeWideSNP_6_C10_902916.grch38.seg.v2.txt	8461b363962403af5055b6f11566919e	25567	validated
07df43a8-9ee3-4b6c-9d9f-cd0ee9b1532e	07df43a8-9ee3-4b6c-9d9f-cd0ee9b1532e/EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_H11_585164.grch38.seg.v2.txt	2a6b7025cb749a0f9dec570dbdb712e3	46837	validated
080636b9-3ec5-478e-8b36-7c7817ca7b6a	080636b9-3ec5-478e-8b36-7c7817ca7b6a/SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_C03_1244554.grch38.seg.v2.txt	ab8bf06b2e01bfb698e7dcc6cab02e80	46944	validated
080b1840-3bbf-46e2-83bb-813f7b96d063	080b1840-3bbf-46e2-83bb-813f7b96d063/EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_A06_585212.grch38.seg.v2.txt	2148126434902c9b803188bb9921143d	43332	validated
0832e5ea-c92a-4f11-bf06-774d9420123b	0832e5ea-c92a-4f11-bf06-774d9420123b/DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C02_771474.grch38.seg.v2.txt	329d327269374f4dd2ac4074439d6c0b	54401	validated
0932d63a-d222-4454-85bc-570eb117b6ec	0932d63a-d222-4454-85bc-570eb117b6ec/IMPLY_p_TCGA_b127_144_SNP_N_GenomeWideSNP_6_F04_808364.grch38.seg.v2.txt	0db1dd00d7c2256f71e216b2da09f40f	24163	validated
095b1861-5e7e-4557-9d87-18e8298824cc	095b1861-5e7e-4557-9d87-18e8298824cc/TAROK_p_TCGA_264_N_GenomeWideSNP_6_D06_1306542.grch38.seg.v2.txt	1d38049b8b44a9dc9449f3772bd31019	53760	validated
09a2c1bd-18b2-4325-9182-1c21c786ac19	09a2c1bd-18b2-4325-9182-1c21c786ac19/LOOBY_p_TCGAb58_SNP_N_GenomeWideSNP_6_B06_680314.grch38.seg.v2.txt	f2965c21dc74318508eaf1cc8389fa88	58094	validated
0a0a1505-a4e9-48ee-bdfb-c81e66fbe2a6	0a0a1505-a4e9-48ee-bdfb-c81e66fbe2a6/BUNGS_p_TCGA_257_258_N_GenomeWideSNP_6_B09_1301010.grch38.seg.v2.txt	b335831e46c4666e21631ad071006efe	22396	validated
0a40fb7e-ef6a-4904-975a-44398754be98	0a40fb7e-ef6a-4904-975a-44398754be98/IMPLY_p_TCGA_b127_144_SNP_N_GenomeWideSNP_6_C01_808346.grch38.seg.v2.txt	8d58271bee134ca052e6cb1233c4d3d6	39199	validated
0c02c248-0003-4e16-a4e3-f09321416f4d	0c02c248-0003-4e16-a4e3-f09321416f4d/IMPLY_p_TCGA_b127_144_SNP_N_GenomeWideSNP_6_F03_808376.grch38.seg.v2.txt	18acda3e8c9bd0cc7de6f757c1ebe74f	42880	validated
0c44458b-0e62-4a5e-9213-ebca848810cb	0c44458b-0e62-4a5e-9213-ebca848810cb/LOOBY_p_TCGAb58_SNP_N_GenomeWideSNP_6_B07_680400.grch38.seg.v2.txt	7c3485ff7622df4d0d2bfde4ad0807e4	42845	validated
0d41570d-7560-40fa-9a7f-ce07f9802a21	0d41570d-7560-40fa-9a7f-ce07f9802a21/COAPT_p_TCGASNP_197_201_204_N_GenomeWideSNP_6_A02_1051514.grch38.seg.v2.txt	c4badd0efad1f3589a5cf0336a1cae12	50945	validated
0d4a66d3-2808-43d1-b90f-cfadc5b03818	0d4a66d3-2808-43d1-b90f-cfadc5b03818/TAROK_p_TCGA_264_N_GenomeWideSNP_6_D02_1306592.grch38.seg.v2.txt	203f61bca413462fe6c102fb8ebe6b0b	44273	validated
0d8c4ec3-1fbb-42cc-a4ff-e4e1fb720348	0d8c4ec3-1fbb-42cc-a4ff-e4e1fb720348/TAROK_p_TCGA_264_N_GenomeWideSNP_6_C03_1306492.grch38.seg.v2.txt	82b630fef6c4c71db79e83e8413d151a	48982	validated
