Tumor_Sample_Barcode	Amp	Del	total
TCGA-CC-A5UC	379	1263	1642
TCGA-DD-A4NQ	289	1334	1623
TCGA-DD-A73G	524	1085	1609
TCGA-QA-A7B7	184	1403	1587
TCGA-DD-AAW0	287	1295	1582
TCGA-XR-A8TF	361	1219	1580
TCGA-XR-A8TD	360	1219	1579
TCGA-G3-A25Y	299	1278	1577
TCGA-DD-A114	379	1184	1563
TCGA-DD-AACL	185	1377	1562
TCGA-BC-A10T	302	1259	1561
TCGA-DD-AACS	472	1081	1553
TCGA-BC-A10Y	294	1252	1546
TCGA-BC-A3KG	286	1243	1529
TCGA-G3-A3CH	135	1394	1529
TCGA-ED-A66Y	664	861	1525
TCGA-DD-AAE1	435	1086	1521
TCGA-CC-5263	330	1187	1517
TCGA-DD-A11B	254	1263	1517
TCGA-DD-AAE3	627	888	1515
TCGA-DD-AADP	383	1107	1490
TCGA-2Y-A9H9	277	1208	1485
TCGA-DD-A118	480	1001	1481
TCGA-DD-A4NH	276	1184	1460
TCGA-DD-AACI	602	855	1457
TCGA-BD-A3EP	506	950	1456
TCGA-DD-AAEA	300	1146	1446
TCGA-2Y-A9GZ	684	758	1442
TCGA-2Y-A9HA	290	1151	1441
TCGA-EP-A3RK	284	1156	1440
TCGA-DD-A1EH	353	1084	1437
TCGA-BC-4073	115	1314	1429
TCGA-K7-A5RG	2	1409	1411
TCGA-DD-A1E9	405	998	1403
TCGA-ZP-A9D0	177	1225	1402
TCGA-KR-A7K8	681	716	1397
TCGA-G3-AAV4	269	1104	1373
TCGA-DD-AADK	286	1079	1365
TCGA-BC-A10S	107	1257	1364
TCGA-2Y-A9H6	193	1159	1352
TCGA-DD-AACA	407	942	1349
TCGA-LG-A6GG	475	860	1335
TCGA-DD-A3A7	793	540	1333
TCGA-DD-A4ND	202	1129	1331
TCGA-MI-A75I	390	930	1320
TCGA-DD-AADJ	179	1138	1317
TCGA-FV-A3R2	282	1003	1285
TCGA-DD-AACM	291	988	1279
TCGA-ES-A2HS	452	821	1273
TCGA-DD-AADM	381	891	1272
TCGA-DD-AACH	377	876	1253
TCGA-DD-AADI	286	967	1253
TCGA-G3-A25U	309	944	1253
TCGA-O8-A75V	541	702	1243
TCGA-DD-AACC	256	984	1240
TCGA-DD-AADN	395	840	1235
TCGA-FV-A3R3	267	952	1219
TCGA-DD-AADA	459	756	1215
TCGA-CC-A9FS	220	994	1214
TCGA-2Y-A9GU	197	1012	1209
TCGA-DD-AAVP	278	920	1198
TCGA-DD-AACF	387	788	1175
TCGA-DD-A4NB	174	996	1170
TCGA-DD-A73F	263	898	1161
TCGA-XR-A8TG	553	596	1149
TCGA-DD-AAE2	109	1036	1145
TCGA-ZP-A9D1	197	948	1145
TCGA-G3-A5SL	488	653	1141
TCGA-DD-AACJ	490	649	1139
TCGA-G3-A25W	380	754	1134
TCGA-FV-A23B	481	652	1133
TCGA-DD-AAVS	385	732	1117
TCGA-DD-A3A5	203	891	1094
TCGA-DD-AAEG	470	622	1092
TCGA-BC-4072	193	892	1085
TCGA-BC-A10W	317	766	1083
TCGA-ED-A8O5	352	724	1076
TCGA-DD-AA3A	190	880	1070
TCGA-HP-A5N0	277	789	1066
TCGA-DD-A1EB	13	1044	1057
TCGA-DD-AAC9	295	758	1053
TCGA-DD-AAD0	384	658	1042
TCGA-DD-AACW	286	733	1019
TCGA-DD-A1EK	180	835	1015
TCGA-G3-A7M6	567	444	1011
TCGA-G3-A25T	157	851	1008
TCGA-DD-A3A0	187	810	997
TCGA-G3-A25Z	293	702	995
TCGA-DD-AACQ	343	638	981
TCGA-DD-A115	44	929	973
TCGA-DD-AAEE	123	835	958
TCGA-FV-A2QR	296	661	957
TCGA-DD-AACD	379	573	952
TCGA-2Y-A9H4	216	733	949
TCGA-2Y-A9GX	361	585	946
TCGA-CC-A8HT	294	650	944
TCGA-DD-AAVR	500	443	943
TCGA-BC-A216	327	613	940
TCGA-DD-AAD1	285	654	939
TCGA-LG-A9QC	192	732	924
TCGA-GJ-A9DB	10	899	909
TCGA-DD-AACY	399	504	903
TCGA-FV-A495	197	704	901
TCGA-2Y-A9H0	217	681	898
TCGA-G3-AAV0	287	607	894
TCGA-DD-A3A1	299	583	882
TCGA-G3-AAV2	386	496	882
TCGA-WJ-A86L	417	464	881
TCGA-DD-AACX	260	617	877
TCGA-DD-AAE4	1	874	875
TCGA-G3-A5SJ	119	742	861
TCGA-BC-A10Z	62	794	856
TCGA-BC-A8YO	56	717	773
TCGA-MR-A8JO	312	455	767
TCGA-RC-A7SF	291	475	766
TCGA-DD-A39V	480	284	764
TCGA-G3-AAV3	474	286	760
TCGA-UB-A7MD	289	455	744
TCGA-DD-A73E	305	433	738
TCGA-2Y-A9GV	91	643	734
TCGA-DD-A39Z	408	305	713
TCGA-CC-5262	312	379	691
TCGA-DD-A73A	116	574	690
TCGA-DD-A3A3	421	266	687
TCGA-BD-A3ER	293	391	684
TCGA-EP-A2KA	672	10	682
TCGA-DD-AAEH	551	128	679
TCGA-DD-A73D	486	184	670
TCGA-EP-A3JL	664	6	670
TCGA-DD-AAW1	413	256	669
TCGA-G3-AAV5	405	262	667
TCGA-5R-AA1D	107	552	659
TCGA-NI-A4U2	116	538	654
TCGA-MI-A75E	387	266	653
TCGA-5R-AAAM	192	455	647
TCGA-BD-A2L6	169	454	623
TCGA-G3-AAUZ	153	467	620
TCGA-2Y-A9GW	595	6	601
TCGA-RC-A7S9	472	125	597
TCGA-2Y-A9H1	398	198	596
TCGA-EP-A12J	383	202	585
TCGA-WX-AA47	405	178	583
TCGA-DD-AAW3	380	202	582
TCGA-2Y-A9H7	177	402	579
TCGA-DD-AAEI	111	466	577
TCGA-DD-AAE9	566	10	576
TCGA-K7-AAU7	223	351	574
TCGA-DD-AACT	572	0	572
TCGA-MI-A75C	382	184	566
TCGA-DD-A11D	190	371	561
TCGA-ZP-A9D4	297	262	559
TCGA-ZS-A9CG	383	176	559
TCGA-ZS-A9CD	552	6	558
TCGA-DD-AAEB	288	267	555
TCGA-DD-AADG	287	266	553
TCGA-G3-A3CG	497	13	510
TCGA-DD-AADU	502	0	502
TCGA-MI-A75H	375	125	500
TCGA-DD-A4NK	487	10	497
TCGA-DD-AAVY	482	15	497
TCGA-DD-AAW2	487	10	497
TCGA-CC-A7IH	484	10	494
TCGA-2V-A95S	485	8	493
TCGA-G3-A3CJ	400	92	492
TCGA-5R-AA1C	478	10	488
TCGA-G3-A25V	111	377	488
TCGA-DD-A4NR	363	123	486
TCGA-ED-A4XI	177	301	478
TCGA-HP-A5MZ	468	6	474
TCGA-DD-AADQ	355	99	454
TCGA-DD-A1EA	192	256	448
TCGA-4R-AA8I	4	439	443
TCGA-KR-A7K0	177	256	433
TCGA-DD-A3A4	7	424	431
TCGA-FV-A4ZQ	416	6	422
TCGA-DD-A4NV	408	6	414
TCGA-G3-A6UC	400	10	410
TCGA-DD-AAD2	391	13	404
TCGA-DD-AADE	139	264	403
TCGA-DD-AAE7	286	117	403
TCGA-DD-A1EE	388	10	398
TCGA-DD-A3A8	384	13	397
TCGA-K7-A6G5	383	6	389
TCGA-ZP-A9CV	383	6	389
TCGA-DD-AACK	0	387	387
TCGA-DD-A4NF	383	2	385
TCGA-BC-A69I	369	10	379
TCGA-2Y-A9GT	101	256	357
TCGA-EP-A26S	329	6	335
TCGA-ES-A2HT	292	6	298
TCGA-ZP-A9CY	174	117	291
TCGA-G3-A3CK	276	0	276
TCGA-BC-A110	0	256	256
TCGA-DD-AAVX	113	111	224
TCGA-2Y-A9HB	210	8	218
TCGA-DD-A4NS	199	10	209
TCGA-ED-A5KG	202	3	205
TCGA-XR-A8TE	199	0	199
TCGA-DD-A39W	180	5	185
TCGA-DD-AADS	83	89	172
TCGA-DD-A1EC	126	0	126
TCGA-G3-A7M7	116	8	124
TCGA-DD-A4NP	30	87	117
TCGA-LG-A9QD	110	6	116
TCGA-DD-A3A6	1	87	88
TCGA-DD-A73C	10	6	16
TCGA-DD-A3A2	4	5	9
TCGA-WX-AA46	4	0	4
TCGA-BC-A10X	0	0	0
TCGA-CC-A9FV	0	0	0
TCGA-DD-A1ED	0	0	0
TCGA-DD-A4NL	0	0	0
TCGA-ED-A627	0	0	0
TCGA-G3-A3CI	0	0	0
TCGA-G3-A7M8	0	0	0
TCGA-K7-A5RF	0	0	0
TCGA-MR-A520	0	0	0
TCGA-UB-AA0V	0	0	0
